,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend
0,rahelch,19 - 24,"Combination, Medium Light, Neutral",3 days ago,"Hidden gem? Wkwkwk Akhirnya menemukan ss yang bagus banget di kulit aku yang berminyak bener bener gak greasy dan nahan minyaknya oke banget di aku, ga bikin jerawatan, dan ga sumuk pokoknya paket komplittt😭 bagus banget huft bakal aku repurchase terus walaupun mungkin spfnya ga setinggi itu tapi dia nyaman banget dipake dan lembab bangetttMinusnya cuma karna masih sistem oles jadi rada sulit kalo terburu buru ya10/10",6 months - 1 year,Shopee,rahelch recommends this product!
1,cellinaas,18 and Under,"Combination, Medium Dark, Warm",05 Nov 2024,"suunscren paling sih !!aku pakai bagi sebelum berangkat sekolah siang hari replay terus , suunscrenpaling ringan, gampang di blend , + bisa bikin lembab karena ada moisturizernya touch up terus wajib biar ga gosong luvv banget deh sama suunscren satu ini luvv azarine❤️",3 months - 6 months,Tiktok Shop,cellinaas recommends this product!
2,Lilyraharjo18,25 - 29,"Combination, Medium, Neutral",04 Nov 2024,"Sunscreen worth it to buy sejauh ini.. aku pakai pagi sebelum ke kantor, kalau ada kerjaan di lapangan touch up 2 kali biar gak gosong✌🏻ada moisturizer nya bikin lembab kulit, dan gak buat kusam sih menurut ku. aku pilih yg calm my acne karna kmren aku sempet jerawatan✨",1 month - 3 months,Shopee,Lilyraharjo18 recommends this product!
3,pinklovingfairy,19 - 24,",19 - 24",03 Nov 2024,"hi, sunscreen ini teksturnya ringan banget! dan gampang buat di blend, nggaa bikin muka berminyak , gampang menyerap!dan tentunya bikin muka lebih lembab, karenaada moisturizer nya, dan di aku sunscreen nya inibagus - bagus ajaaa <3 🤍🤍",6 months - 1 year,Tiktok,pinklovingfairy recommends this product!
4,shrnsia_23,18 and Under,"Combination, Medium Light, Cool",02 Nov 2024,"Produk ini bagus kok, sejauh ini aq pakai gk bikin breakout. Tekstur nya ringan and mudah menyerap. And produk ini gk bikin kulit jadi berminyak bgt, padahal tipe kulit aq combination to oily. Cocok juga buat sensitive skin cuz ini produk bisa bantu nenangin kulit.",6 months - 1 year,Shopee,shrnsia_23 recommends this product!
5,1009hoonie,18 and Under,"Combination, Medium Light, Neutral",01 Nov 2024,"hi guys, aku mau rekomendasiin ss yg bagus buat acne prone nih. aku udah pake 1 tahun lebih dan hasilnya lumayan banget di aku, udah jarang jerawatan lagi alhamdulillah. 1 tube bisa sampe 1 bulan loh~",More than 1 year,Shopee,1009hoonie recommends this product!
6,FitriKurniati,19 - 24,"Combination, Medium Light, Cool",01 Nov 2024,"guys, aku mau rekomendasiin nih ke kalian, sunscreen yang udah lama bgt aku pake hehe, udah sampe 3 tube lebih, ini friendly banget buat yang acne face kayak aku, terus dia sekalian moisturizer juga jadi kalian dalam satu produk udah dapat 2 fungsi sekaligus !!",6 months - 1 year,Shopee,FitriKurniati recommends this product!
7,twinkletoes0914,19 - 24,"Combination, Light, Cool",01 Nov 2024,"Sunscreen yang selalu aku pakai tiap hari, cocok untuk acne prone atau kulit sensitif kayak aku. Harganya juga terjangkau, ngga buat perih dimata dan cepat meresap ke kulit. Aku sering gunain sunscreen yang spfp35 pa +, recommended dari aku ya",More than 1 year,Tiktok Shop,twinkletoes0914 recommends this product!
8,kiinaan,19 - 24,",19 - 24",31 Oct 2024,"in my opinion sunscreen ini sangat ringan pada pengaplikasiannya, tidak meninggalkan whitecast dan cepat menyerap juga melembabkan. ini menjadi combo produk yang bagus selain menjaga kulit dari paparan matahari produk ini juga melembabkan kondisi kulit karna kombinasi moisturizer<3",1 week - 1 month,Shopee,kiinaan recommends this product!
9,letsbinuuu,19 - 24,"Oily, Medium Light, Cool",29 Oct 2024,"Salah satu sunscreen yang wajib dicoba buat para oily and acne prone skin dan gampang keringetan kaya aku, dia gampang banget menyerap kaya gak pake apa apa dan oil controlnya juara.Dipake sebagai skinprep pun dia gak ngerusak makeup, karna dia itu hasilnya matte semisal kalian mau makeupnya agak dewy kalian bisa pake serum or moist yang agak thick terus dipakein ss ini bagus banget karna oil controlnyaintinya ini worth to try for oily skin",3 months - 6 months,Sociolla,letsbinuuu recommends this product!
