,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend
0,lisanvra,19 - 24,"Dry, Light, Neutral",a day ago,"Selama aku pake sunscreen ini selama kurleb 2 tahun diaku ini oke banget. Apalagi buat tipe kulit kayak aku yang dry, ini ga bikin tambah kering. Sukanya dia gaada wanginya jadi ga mengganggu, no whitecast, dan juga diaku produk ini cepat meresap. So highly recommended👍🏻",More than 1 year,XBeauty by Female Daily,lisanvra recommends this product!
1,nurultikaa,19 - 24,"Normal, Medium, Neutral",08 Nov 2024,"Akhirnya aku ketemu dengan ss yang cocok dikulitku, btw tipe kulitku normal to dry. Sunscreen azarine mngandung serum dengan spf 50+++ yg bagus utk melindungi kulit dari paparan sinar matahari. Di aku selama 4 bulan pemakaian kulit ku jadi sehat, lembab dan glowwing.",1 month - 3 months,Official Brand Store,nurultikaa recommends this product!
2,Sanarooo,25 - 29,"Dry, Medium, Neutral",03 Nov 2024,"Cocok untuk kulit kering dan kombinasi, ringan dibawa pada saat berpergian, tekstur formula ringan dan tidak sulit untuk diaplikasikan. Harga terjangkau dan mudah didapatkan dimana saja. Re-applay 2-3 jam sekali. Mampu membuat kulit terasa plumpy. Rekomendasi",More than 1 year,Shopee,Sanarooo recommends this product!
3,nabills21,19 - 24,"Oily, Medium Light, Neutral",02 Nov 2024,"sunscreen azarine yang satu ini baguss bangeett sumpahh, melembabkan kulit, teksturnya gel tapi cepat bangett meresap nyaa dan ga bikin lengket, ringan parahh. spf nya 50PA++++😍🫶🏻 ada efek tone up nya sedikit ga buat muka putih” bgt lah ya, finish nya bikin muka glowly🫶🏻",3 months - 6 months,Shopee,nabills21 recommends this product!
4,yunnikeee,19 - 24,"Oily, Medium Light, Neutral",01 Nov 2024,serum vit c ga cocok di aku tapi malah cocok pake sunscreen yg ada vit c nyaa👏🏻👏🏻 kalo mau pake ini harus siap” punya wajah lebih cerah soalnya vit c nya kayak bikin tone up gitu diwajah cuma masih aman kokk dan produk ini juga gampang meresap jadi enak dipakenya,1 month - 3 months,Shopee,yunnikeee recommends this product!
5,gustindheasiahaan,19 - 24,",19 - 24",01 Nov 2024,"Azarine memang best sih, ini jadi sunscreen kecintaan ku. Karena waktu di pake dia tuh gak bikin berat di kulit gak bikin wajah kita jadi minyakan, jerawat, apalagi komedoan. Pokok nya kalian wajib beli karena harganya juga murah banget banget",1 month - 3 months,Female Daily Studio,gustindheasiahaan recommends this product!
6,miyah,30 - 34,"Combination, Medium, Neutral",23 Oct 2024,"sesuka itu sama sunscreen ini, selalu repurchase, spf-nya 50 PA++++ proteksi full buat yang mau aktivitas outdoor, tetep wajib reapply yaaacocok buat yang punya kulit kering, bikin glowing tapi gak bikin kusam,luv ❤️",More than 1 year,Shopee,miyah recommends this product!
7,nasywahfajri,18 and Under,"Combination, Medium, Neutral",18 Oct 2024,"untuk suncreen azarine satu ini, jujur ngga cocok di kulit gua, gatau kenapa. gua bahkan pernah hampir kebayang sama produk ini sampe berhari-hari, eh malah ga cocok. gua berharap banget sama kandungan vit c nya, tapi syaang di gua ga berjodoh:( apalagi pas pulangsekolah terus deoble cleansing kan, sumpah kotor nya tuh banget pokoknya beda sama suncreen azarine varian lain, pake ini juga malah ada jerawat, sayang sekali ngga jodoh ya haha, tapi selama pemakaian ngga ngerasa berat walaupun spf 50, tapi ya gitu lah, bikin kusam juga. pokoknya ga cocok deh, sorry azarine",6 months - 1 year,Instagram,nasywahfajri doesn't recommend this product!
8,Chloe25,25 - 29,"Combination, Medium, Neutral",07 Oct 2024,"Sunscreen dari azarine ini emang the best lah. Aku baru nemuin sunscreen yang ketahanannya sebagus ini, pokoknya engga takut belang lagi. Teksturnya yang creamy dan tidak menyengat sama sekali. Perlindungan maksimal dengan 3 ruas jari. Aku tuh paling suka sama sunscreen yg ukurannya medium kek gini.",1 week - 1 month,Traditional Market,Chloe25 recommends this product!
9,lanyeu,19 - 24,"Normal, Medium Dark, Neutral",05 Oct 2024,"Udah dari lama pake hidramax c sunscreen dari azarine. Sesuka itu, karena cepet kering dan gak bikin whitecast. type kulitku juga normal to dry, jadi pas banget kalo pake sunscreen ini. nyaman banget buat dipake sehari-hari tuh",6 months - 1 year,Shopee,lanyeu recommends this product!
