time,formattedTime,formattedAxisTime,value,hasData,formattedValue,isPartial
1724025600,"Aug 19, 2024",Aug 19,[57],[True],['57'],
1724112000,"Aug 20, 2024",Aug 20,[62],[True],['62'],
1724198400,"Aug 21, 2024",Aug 21,[67],[True],['67'],
1724284800,"Aug 22, 2024",Aug 22,[59],[True],['59'],
1724371200,"Aug 23, 2024",Aug 23,[71],[True],['71'],
1724457600,"Aug 24, 2024",Aug 24,[71],[True],['71'],
1724544000,"Aug 25, 2024",Aug 25,[53],[True],['53'],
1724630400,"Aug 26, 2024",Aug 26,[60],[True],['60'],
1724716800,"Aug 27, 2024",Aug 27,[52],[True],['52'],
1724803200,"Aug 28, 2024",Aug 28,[68],[True],['68'],
1724889600,"Aug 29, 2024",Aug 29,[60],[True],['60'],
1724976000,"Aug 30, 2024",Aug 30,[74],[True],['74'],
1725062400,"Aug 31, 2024",Aug 31,[59],[True],['59'],
1725148800,"Sep 1, 2024",Sep 1,[85],[True],['85'],
1725235200,"Sep 2, 2024",Sep 2,[65],[True],['65'],
1725321600,"Sep 3, 2024",Sep 3,[68],[True],['68'],
1725408000,"Sep 4, 2024",Sep 4,[55],[True],['55'],
1725494400,"Sep 5, 2024",Sep 5,[50],[True],['50'],
1725580800,"Sep 6, 2024",Sep 6,[68],[True],['68'],
1725667200,"Sep 7, 2024",Sep 7,[50],[True],['50'],
1725753600,"Sep 8, 2024",Sep 8,[57],[True],['57'],
1725840000,"Sep 9, 2024",Sep 9,[52],[True],['52'],
1725926400,"Sep 10, 2024",Sep 10,[62],[True],['62'],
1726012800,"Sep 11, 2024",Sep 11,[50],[True],['50'],
1726099200,"Sep 12, 2024",Sep 12,[41],[True],['41'],
1726185600,"Sep 13, 2024",Sep 13,[37],[True],['37'],
1726272000,"Sep 14, 2024",Sep 14,[64],[True],['64'],
1726358400,"Sep 15, 2024",Sep 15,[62],[True],['62'],
1726444800,"Sep 16, 2024",Sep 16,[69],[True],['69'],
1726531200,"Sep 17, 2024",Sep 17,[53],[True],['53'],
1726617600,"Sep 18, 2024",Sep 18,[55],[True],['55'],
1726704000,"Sep 19, 2024",Sep 19,[56],[True],['56'],
1726790400,"Sep 20, 2024",Sep 20,[38],[True],['38'],
1726876800,"Sep 21, 2024",Sep 21,[61],[True],['61'],
