username,skintype,date,review_content,purchase_point,rating,Jenis_Produk,trend,age_category,periode_penggunaan,Recommend,skintone,undertone
rahelch,Combination,2024-11-15,"Hidden gem? Wkwkwk Akhirnya menemukan ss yang bagus banget di kulit aku yang berminyak bener bener gak greasy dan nahan minyaknya oke banget di aku, ga bikin jerawatan, dan ga sumuk pokoknya paket komplittt😭 bagus banget huft bakal aku repurchase terus walaupun mungkin spfnya ga setinggi itu tapi dia nyaman banget dipake dan lembab bangetttMinusnya cuma karna masih sistem oles jadi rada sulit kalo terburu buru ya10/10",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,39,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
thiis_10,Dry,2024-09-26,"Cocok buat pemula yang baru terjun ke dunia skincare! Ini termasuk produk fav ku di azarine.💗. Rasanya ringan di wajah dan ga bikin jerawatan. Apalagi yang sedang jerawatan, jangan takut buat coba karena ini ga bikin perih saat pemakaian. Bisa juga melembabkan wajah apalagi kalau kulitmu kering. Rekomend deh buat kamu yang suka berdiam di ruangan atau saat sedang sekolah.",Lazada,5,Azarine Calm My Acne Sunscreen Moisturizer,41,remaja,Jangka Menengah,recommend,Medium,Neutral
almiraa,Combination,2024-09-26,"satu satunya sunscreen yang cocok banget dan ga bikin minyakan di wajah aku yang super duper susah banget nyari sunscreen yang cocok, dia lightweight gampang banget di blend dan cepet nyerep juga, minusnya kadang suka bikin kering dan ketarik, tapi overall baguss",Shopee,4,Azarine Calm My Acne Sunscreen Moisturizer,41,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
diyandita,Oily,2024-09-25,"Jujur, ini salah satu SS legend menurut aku, dulu pakai yg Hydra Shoote skrg pakai yg Calm Acne.Enak texture nya ringan BGT ga bikin closed comedo juga guys!💗Gatau udah tube ke berapa, gabisa berpaling ke SS lain kalau buat daily use",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,44,remaja,Jangka Panjang,recommend,Medium Light,Neutral
hann_ad,Dry,2024-09-25,"Tidak menimbulkan jerawat selamat pemakaian.. ada kandungan bakuchiol tapi gak greasyEfek melembabkan sangat ada, bisa dipakai sebagai moisturizer…Sunscreen Cepat meresap ke kulit,,, biarpun dipakai setelah berlayer-layer skincare",Official Brand Store,5,Azarine Calm My Acne Sunscreen Moisturizer,44,dewasa muda,Jangka Pendek,recommend,Medium Light,Warm
starbroocks,Oily,2024-09-24,"Sunscreen tercocok, terbagus, ter affordable, pokoknya ter ter ter. Finishnya matte, gampang menyerap, dan cocok banget untuk kulit oily, acne prone skin. Gaada fragrance sama sekali, dan teksturnya mirip gel cream (?) ringan pokoknya. Untuk setelah pakai after feeling nya ga bakal kerasa berat, dan mostly setiap pakai nahan minyak lumayan bgt. Udah repurchase berkali-kali sampe gabisa diitung itu bekas tube ada berapa mungkin sekitar 10(?) karena emang sebagus itu dan udah pake dari lamaaaa. Awalnya emang coba-coba karena kok ada varian yg khusus acne, pas awal aku pakenya yang hydrasoothe. Tapi cocok banget sama yg inii, saran buat Azarine kedepannya tolong launch produk ini dengan size yg lebih besar dan isi lebih banyak donggg untuk kaum yang malas beli-beli muluuuu lovvvv ❤️❤️❤️",Murni Cosmetics Nusa Dua,5,Azarine Calm My Acne Sunscreen Moisturizer,39,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
alicslwa_,Oily,2024-09-23,"Aku suka banget sama sunscreen ini. Apalagi buat aku yang skintype nya oily, sunscreen ini sama sekali ga bikin muka jadi kilang minyak. Finish nya matte di kulit jadi mau dipake dari pagi sampe siang pun paling minyakan sedikit (which is normal). Sebenernya di awal pemakaian aku ngerasa sunscreen ini ga bikin kusam sama sekali, tapi ntah kenapa akhir² ini aku ngerasa malah jadi kusem(?) kalo misal sunscreen nya ga diset pake bedak. Aku gatau ini karena emang sunscreennya bikin kusam dari awal tapi aku ga sadar atau makin dipake malah bikin kusam. Repurchase? Masih oke",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,49,remaja,Jangka Pendek,recommend,Medium,Neutral
zakiatr_,Oily,2024-09-23,"Pernah pake sekali karena ditempatku yang varian yang biasa aku beli habis. Menurutku ini oke sih, untuk kulit oily dia ga lama dalam ngeset trus ga ada whitecast juga. Kalo ditimpa make up juga aman ga bikin geser complexion asalkan tunggu kering dulu ya",Traditional Market,4,Azarine Calm My Acne Sunscreen Moisturizer,49,dewasa muda,Jangka Pendek,recommend,Medium Light,Cool
kholifahtur81,Combination,2024-09-21,"Produk ini bagus bgt, bener"" langsung menyerap n gk white cast.. Dtambah ini khusus acne bisa menenangkan kulit yg lagi meradang.. Lembut di kulit...... Harganya jga terjangkau, gk menguras kantong.. Wort it to buy.. #MyEveryDay Make up",Tokopedia,5,Azarine Calm My Acne Sunscreen Moisturizer,61,dewasa matang,Jangka Pendek,recommend,Medium Dark,Warm
PattD59,Dry,2024-09-18,"Cocok bgt di aku gatau knp, pdhl buat kulit oily and berjerawat. Ngesetnya bagus bgt dan kyk ngga pake apa-apa. Di aku manfaatnya sedang"" aja, ngga yang wah gmn gitu. Melembabkannya cukup bgt, affordable",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,55,dewasa muda,Jangka Menengah,recommend,Medium Light,Warm
Moshimosh,Oily,2024-09-17,Pas awal buka agak skeptis sama tekstur nya karna thick. Tapi pas di apply bener bener melt dan adem + cepat meresap. Di blend juga aman banget. No whitecast! My bestt sunscreen dengan harga yg affordable dan biasanya aku juga pake ini aja untuk daily karna cukup melembabkan dan ga kusem.,Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,53,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
arzahra,Combination,2024-09-17,Andalan kalo kulit lagi berjerawat✨ Teksturnya lebih ringan dan lembab drpd versi hydrasoothe—direkomendasikan buat kulit berjerawat since its SPF 30 dan bisa calming redness juga. Cuma menurutku di kulitku yg dehidrasi calm my acne ini masih kurang lembab kl buat skipcare jd harus pake moist dulu 🙃,PR Package,4,Azarine Calm My Acne Sunscreen Moisturizer,53,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
