Unnamed: 0,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count
0,nuimkhoirunnisa,19 - 24,"Combination, Medium Light, Neutral",2024-07-05,"suka banget sama produknya, enak ga lengket nyaman ga white caseee jugaa. kaian harus coba gais. sunscreen itu penting buanget sumpah nyesel kalau gabpakai huaaaa. ayo kitaaa pakai sunscreen azarine guysssss love banget sekebon seangkasaaa",More than 1 year,Shopee,nuimkhoirunnisa recommends this product!,5
1,irmaharumsekar,25 - 29,"Oily, Medium Light, Neutral",2024-07-05,kulitku sensitif banget dan oily..aku nyoba sunscreen azarine ini ternyata cocok banget.. ringan.. mudah menyerap.. no whitecast.. buat yang punya kulit oily dan ada masalah skin barrier boleh sii nyoba ini.. karena emang sebagus itu sii,1 month - 3 months,Indomaret,irmaharumsekar recommends this product!,5
2,sherlyputriarifin,18 and Under,"Combination, Medium, Neutral",2024-07-04,"hydrasoothe sunscreen gel spf 45++ dari azarine cosmetic ini favorit aku bangett. Teksturnya tuh gel yang cepetbanget menyerap, gaada White casenya, ga bikin muka berminyak jugaa. Walaupun panas-panasan kalau pakai sunscreen ini jadi ga gosong",More than 1 year,Shopee,sherlyputriarifin recommends this product!,5
3,NadyaIndahArifin,19 - 24,"Combination, Medium, Cool",2024-07-04,"Produk azarine hydrashoothe adalah salah satu sunscreen ter ringan yang pernah ku pake 👍 dia gampang menyerap di kulit dan ga bikin lengket di muka, terus cukup hydrating juga untuk kulit kombinasi/oily, dan tentunya ga bikin whitecast 😍",More than 1 year,Shopee,NadyaIndahArifin recommends this product!,5
4,mareuwa,19 - 24,"Combination, Medium, Cool",2024-07-03,"keracunan temen nyobain ss azarine yang ini, aku suka banget sama teksturnya kaya gel gitu jadi gamapang nyerep dan ga nimbulin whitecase, dia juga ga bikin dempul. di kulit aku yang kombinasi gini dia melembabkan dan juga ga bikin gerah di wajah. jadi cocok banget buat dipakai semua tipe kulit",1 month - 3 months,Tokopedia,mareuwa recommends this product!,5
5,IsmiNurul,19 - 24,"Combination, Medium, Neutral",2024-07-03,"Banyak banget sliweran sunscreen. Salah satu yang pernah ku coba sunscreen dari azarine ini. Gampang di blend, ga bikin whitecast kalo di kulitku, ringan juga. Cuma finishingnya kadang bikin kulit berminyak setelah beberapa jam pemakaian 🥹",1 month - 3 months,Shopee,IsmiNurul recommends this product!,4
6,Nemesis,18 and Under,"Normal, Medium, Warm",2024-07-02,"Sunscreen gel yang water based jadinya ringan banget, ga ada whitecastnya dan cepet banget nyerepnya, btw aku udah pake sekitar 7 bulanan dan cocok banget di aku yang tipe kulitnya kombinasi cenderung berminyak karna ga bikin kulit jadi tambah berminyak.",6 months - 1 year,Shopee,Nemesis recommends this product!,5
7,jialure,18 and Under,"Dry, Medium, Neutral",2024-07-02,"the best sunscreen I ever have!! aku suka banget parah, udah gamau ganti ganti lagi. soalnya udah cocok. karena lightweight dan di aku sih ga kusam walaupun abis sekolah. gatau udah habis berapa tube, sesuka ituu. awalnya takut karena biasanya yg viral di tiktok tuh zonk. tapi ternyata engga. omgg, love it sooooo muchh",6 months - 1 year,Shopee,jialure recommends this product!,5
8,aprmdhni,19 - 24,"Dry, Medium Dark, Neutral",2024-07-01,"Buat dry skin pake ss ini + moisturizer masih aman bangett. Ga bikin kering tapi juga ga terlalu moist, pas deh untuk dipake daily dan make up. Plis adain up size dongg karena ngerasa cepet bgt abis tiap pake ss ini saking cocoknya",More than 1 year,Traditional Market,aprmdhni recommends this product!,5
9,arimbiips_,19 - 24,"Oily, Medium, Neutral",2024-07-01,"Sunscreen ter-worth it sepanjang masa! aku udah pake sunscreen ini dari jaman covid krn awalnya iseng aja coba, EH TERNYATA COCOK!<3 akhirnya repurchase terus bahkan kalo abis tuh aku gunting biar ga kebuang gituhh. buat acne prone masih aman bangettt, teksturnya gel tp ga lengket gitu loh, dan yg paling penting GAADA WHITECAST! cintaaa banget sama azarine <3",More than 1 year,FD Flash Sale,arimbiips_ recommends this product!,5
