Unnamed: 0,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count
0,nrlazzh_,19 - 24,"Combination, Medium Light, Neutral",,"sunscreen pertama aku, bnr bnr prtma kali nyoba, beli dan make ss ya ss skin aqua yg ini!! aku pake ini dari awal masuk SMA dan skrg aku uda semester 3, brp tahun cb tuh😭 aku pertama kali beli itu kalo gasalah di dan dan, tapi setelahnya di shopee HAHAHA, mau nyoba yg lain si, soalnya pas semenjak aku kenal makeup klo makeupan abis pake ss ini tuh gatau knp kya peeling gt ya? jd klo mau makeupan hrs jeda dlu skitar set jaman💁🏻‍♀️ gatau pasti, intinya tu aku tinggal makan dulu, ini itu dulu😆",More than 1 year,Shopee,nrlazzh_ recommends this product!,3
1,SilviaMD208,19 - 24,"Normal, Medium Dark, Neutral",,"Salah satu suncrean andalan aku sihh. Teksturnya tuh cair tp warna putih, cepet meresap, nggak bikin komedoan dan nggak ada efek white casenya gituu. Cocok banget dipakai buat kulit aku yang normal to dry ini. Aku udah pakai ini lumahan cukup lama guys dengan harga 40an tp kadang suka naik sih harganya haha.",More than 1 year,Shopee,SilviaMD208 recommends this product!,5
2,Adryanfahmi,19 - 24,"Combination, Medium Light, Neutral",2024-11-14,"Sangat cocok untuk yang memiliki oily skin dan kombinasi, memiliki tekstur yang light sehingga tidak membuat muka menjadi berat setelah di apply.Packaging yang sangat memudahkan ketika ingin re-apply di siang hari.Memiliki spf 50++ yang sangat cukup untuk melindungi dari sinar UV",More than 1 year,Super Indo,Adryanfahmi recommends this product!,5
3,belladwiayunda,25 - 29,"Combination, Medium, Neutral",2024-11-14,"Aku udah nyobain hampir semua jenis sunscreen skin aqua, dan menurut ku varian ini yang paling moist di kulit, menghidrasi dan memproteksi kulit dari sinar matahari dengan sangat baik, padahal aku sering kegiatan outdoor Dari segi harga affordableDari segi packaging jg gk trllu gede, jadi mudah di bawa kemana²",1 month - 3 months,Shopee,belladwiayunda recommends this product!,5
4,resina,25 - 29,"Oily, Medium Light, Neutral",2024-11-13,"Murah tapi g murahan. Hasilnya aku suka sih, dewy finish di kulit oilyku. Ringan dipake dan g bikin nambah jerawat baru. Tekstur cair, cepet meresap dan gada whitecast juga. Sempet jadi SS favorite ku ber bulan2, cuma karna bosen akhirnya nyoba2 merk lain.",More than 1 year,Shopee,resina recommends this product!,4
5,elzeaque,19 - 24,"Combination, Medium Dark, Neutral",2024-11-12,"Ini udah wadah ke 2 yang aku habisin dari produk ini. Dan aku masuk jarang banget repurchase kalo enggak bener-bener bagus dan cocok. Dan produk ini beneran bagus dan tahan lama banget. Isinya banyak dan formulanya aku suka banget. Di pake sebelum makeup gak bikin makeup jelek malah jadi real skin dengan efek glow yang gak becek. Minusnya mungkin kalo di pakai lumayan lama jadi kusam, juga pakai kebanyakan kadang bikin jadi cepet longsor makeup",6 months - 1 year,Shopee,elzeaque recommends this product!,5
6,Mutiara_442,19 - 24,"Oily, Medium Light, Neutral",2024-11-10,"Sangat cocok sekali di kulit ku yang berminyak ini, menambah warna tone muka tanpa membuat muka terlihat dempul. Memiliki efek mencerahkan untuk kulit ku ini, terasa ringan digunakan dan tidak berat di muka. Penggunaan dengan cara dikocok terlebih dahulu lalu gunakan sebanyak 2 ruas haridan dioleskan secara merata dimuka kita.",More than 1 year,Tiktok Shop,Mutiara_442 recommends this product!,5
7,frestadmy,25 - 29,"Combination, Medium, Neutral",2024-11-07,"Produk ini sangat rekomendasi untuk kalian yang punya tipe kulit wajah kombinasi, membuat kulit menjadi lebih moist namun tidak menjadikan kulit jadi oily. Untuk harga sangat worth it karena memang benar benar bagus dan tidak overclaim.",More than 1 year,Shopee,frestadmy recommends this product!,5
8,blossomchii,30 - 34,"Combination, Medium Light, Neutral",2024-11-05,"cobain ini karena pas itu iseng ke sociolla, terus nyobain texturenya skin aqua, kaget, kok enak bangett?!! ini ringan, lembab dan cepet ngeresap di kulit! cocok buat kulit aku yg kering kerontang, walaupun dia ringan tapi masih lembab gitu, untuk perlindungan dari sinar UV nya sendiri aku kurang tau sih karena jarang habisin waktu lama di outdoor. cuma kalo produk dari jepang ya percaya sih pasti sesuai klaimnya :D",1 month - 3 months,Shopee,blossomchii recommends this product!,5
9,Belladonnaly,18 and Under,"Combination, Medium, Neutral",2024-11-04,"setelah sekian lama aku cari sunscreen sana sini, eh ini yang paling menurut aku bagus dan cocok buat akuu! gampang di blend, tekstur cair yang ga bikin ngerasa kulit kering setelah dipakai atau kasar. ga bikin kusam jugaa sunscreen nya! karna aku udah pakai beberapa sunscreen dan hasilnya dimuka selalu kusam, aku tau sunscreen ini karena rekomendasi temen, dan ternyata ini emang worth it to buy! aku bakal pakai terus dan ga akan ganti sepertinya, tapi aku juga mau coba temennya sunscreen ini yang UV whitening milk. mau tes cocokan yang mana hehe, love this sunscreen!",1 week - 1 month,C&F,Belladonnaly recommends this product!,5
